Piloto,Média de Posição,Número de Pódios,Número de Vitórias,Melhor Volta Rápida,Média de Velocidade na Volta Rápida,Velocidade Máxima,Desvio Padrão das Posições,Total de Pontos,Média de Diferença (Grid - Posição)
max_verstappen,3.6666666666666665,14.0,9.0,1:07.719,216.48939130434783,255.12,4.0180751033588065,399.0,-0.125
norris,4.291666666666667,13.0,4.0,1:08.016,217.2271739130435,256.1,4.0804855493973475,344.0,-0.9166666666666666
leclerc,4.583333333333333,13.0,3.0,1:09.584,214.95186956521738,250.58,4.402733011552539,327.0,0.8333333333333334
piastri,5.125,8.0,2.0,1:08.697,216.14734782608696,254.503,3.111165027138058,265.0,0.2916666666666667
sainz,6.043478260869565,9.0,2.0,1:09.282,214.2196818181818,250.601,5.530726245831022,262.0,-1.2173913043478262
russell,6.791666666666667,4.0,2.0,1:09.164,215.86726086956523,254.215,5.098841869071554,226.0,-1.1666666666666667
hamilton,7.041666666666667,5.0,2.0,1:09.562,216.22190909090907,255.849,4.938571934640944,207.0,1.0
bearman,9.666666666666666,,,1:22.494,210.34133333333332,241.103,2.5166114784235836,7.0,2.3333333333333335
perez,9.916666666666666,4.0,,1:09.694,215.3214090909091,251.35,6.303323255075137,138.0,-1.375
alonso,10.25,,,1:07.694,215.0672608695652,251.432,4.099310652547201,70.0,-0.8333333333333334
hulkenberg,11.833333333333334,,,1:10.215,213.26421739130436,250.432,4.330545368473329,36.0,0.0
gasly,12.875,1.0,,1:09.609,211.3837142857143,248.997,4.83027139394159,40.0,-0.5833333333333334
tsunoda,13.208333333333334,,,1:10.318,213.35095454545453,241.94,4.462200341093839,29.0,-2.125
kevin_magnussen,13.363636363636363,,,1:10.125,215.74866666666665,249.946,3.697430955541384,14.0,0.36363636363636365
lawson,13.5,,,1:19.502,209.52583333333334,230.187,3.6193922141707713,4.0,-0.3333333333333333
stroll,13.541666666666666,,,1:10.143,213.87513636363636,253.609,4.211569640950951,24.0,-0.875
ricciardo,13.555555555555555,,,1:10.426,214.56312499999999,247.625,3.3294094551829216,7.0,-0.4444444444444444
ocon,13.826086956521738,1.0,,1:09.649,212.56842857142857,247.261,4.074891787888846,23.0,-1.2608695652173914
colapinto,14.11111111111111,,,1:20.090,207.159125,249.077,4.702245326555294,5.0,-0.3333333333333333
albon,14.833333333333334,,,1:10.364,215.04375,248.514,4.340573661412155,12.0,-2.7916666666666665
doohan,15.0,,,1:29.121,213.323,213.323,,0.0,2.0
zhou,15.625,,,1:10.470,212.78252173913043,245.085,3.0189618140649954,4.0,1.125
bottas,15.916666666666666,,,1:10.449,212.51208695652176,249.432,2.33901998553959,0.0,-1.6666666666666667
sargeant,17.142857142857142,,,1:10.406,212.6466153846154,237.657,2.6269942712345036,0.0,0.0
